=== CSOPESY CPU UTILIZATION REPORT ===
CPU Utilization: 75%
Cores Used: 12/16
Ready: 107 | Sleeping: 1 | Finished: 0
======================================
=== PROCESS TABLE ===
  auto_p1 [PID 1] - READY (36/5008)
  auto_p2 [PID 2] - READY (39/5016)
  auto_p3 [PID 3] - READY (35/5016)
  auto_p4 [PID 4] - READY (37/5024)
  auto_p5 [PID 5] - READY (34/5016)
  auto_p6 [PID 6] - READY (34/5024)
  auto_p7 [PID 7] - READY (30/5024)
  auto_p8 [PID 8] - READY (30/5024)
  auto_p9 [PID 9] - READY (28/5016)
  auto_p10 [PID 10] - READY (34/5008)
  auto_p11 [PID 11] - READY (29/5016)
  auto_p12 [PID 12] - READY (29/5008)
  auto_p13 [PID 13] - READY (28/5016)
  auto_p14 [PID 14] - READY (32/5016)
  auto_p15 [PID 15] - READY (34/5024)
  auto_p16 [PID 16] - READY (37/5016)
  auto_p17 [PID 17] - READY (34/5016)
  auto_p18 [PID 18] - READY (31/5024)
  auto_p19 [PID 19] - READY (27/5008)
  auto_p20 [PID 20] - READY (26/5016)
  auto_p21 [PID 21] - RUNNING (28/5024)
  auto_p22 [PID 22] - RUNNING (32/5016)
  auto_p23 [PID 23] - RUNNING (35/5024)
  auto_p24 [PID 24] - READY (25/5008)
  auto_p25 [PID 25] - RUNNING (21/5008)
  auto_p26 [PID 26] - RUNNING (20/5008)
  auto_p27 [PID 27] - RUNNING (23/5016)
  auto_p28 [PID 28] - RUNNING (21/5016)
  auto_p29 [PID 29] - RUNNING (21/5016)
  auto_p30 [PID 30] - RUNNING (21/5016)
  auto_p31 [PID 31] - READY (17/5008)
  auto_p32 [PID 32] - READY (19/5008)
  auto_p33 [PID 33] - READY (25/5008)
  auto_p34 [PID 34] - READY (24/5008)
  auto_p35 [PID 35] - READY (19/5008)
  auto_p36 [PID 36] - READY (18/5008)
  auto_p37 [PID 37] - READY (17/5008)
  auto_p38 [PID 38] - READY (14/5008)
  auto_p39 [PID 39] - READY (19/5000)
  auto_p40 [PID 40] - READY (17/5016)
  auto_p41 [PID 41] - READY (16/5000)
  auto_p42 [PID 42] - READY (18/5016)
  auto_p43 [PID 43] - READY (17/5008)
  auto_p44 [PID 44] - READY (19/5008)
  auto_p45 [PID 45] - READY (22/5008)
  auto_p46 [PID 46] - READY (15/5008)
  auto_p47 [PID 47] - READY (17/5008)
  auto_p48 [PID 48] - READY (15/5008)
  auto_p49 [PID 49] - READY (19/5008)
  auto_p50 [PID 50] - READY (17/5008)
  auto_p51 [PID 51] - READY (19/5016)
  auto_p52 [PID 52] - READY (18/5016)
  auto_p53 [PID 53] - READY (23/5008)
