[2025-11-05 23:21:47] [Tick 9 | Q1/5] auto_p1 [PID 1] pc=0/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:47] [Tick 10 | Q2/5] auto_p1 [PID 1] pc=1/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:48] [Tick 12 | Q3/5] auto_p1 [PID 1] pc=2/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:48] [Tick 13 | Q4/5] auto_p1 [PID 1] pc=3/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:48] [Tick 13 | Q1/5] auto_p2 [PID 2] pc=0/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:48] [Tick 14 | Q5/5] auto_p1 [PID 1] pc=4/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:48] [Tick 14 | Q2/5] auto_p2 [PID 2] pc=1/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:48] [Tick 15 | Q1/5] auto_p1 [PID 1] pc=5/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:48] [Tick 15 | Q1/5] auto_p3 [PID 3] pc=0/5000 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-05 23:21:48] [Tick 16 | Q3/5] auto_p2 [PID 2] pc=2/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:48] [Tick 16 | Q2/5] auto_p3 [PID 3] pc=1/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:48] [Tick 17 | Q1/5] auto_p4 [PID 4] pc=0/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:48] [Tick 17 | Q3/5] auto_p3 [PID 3] pc=2/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:48] [Tick 17 | Q2/5] auto_p1 [PID 1] pc=6/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:48] [Tick 18 | Q2/5] auto_p4 [PID 4] pc=1/5000 -> ADD(sum, x, y) | State=RUNNING
[2025-11-05 23:21:48] [Tick 18 | Q4/5] auto_p2 [PID 2] pc=3/5000 -> ADD(sum, x, y) | State=RUNNING
[2025-11-05 23:21:48] [Tick 19 | Q3/5] auto_p4 [PID 4] pc=2/5000 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:48] [Tick 19 | Q5/5] auto_p2 [PID 2] pc=4/5000 -> ADD(sum, x, y) | State=RUNNING
[2025-11-05 23:21:48] [Tick 19 | Q4/5] auto_p3 [PID 3] pc=3/5000 -> PRINT('Hello world!') | State=RUNNING
